"","REGION","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","NPT4_PUB","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NUM4_PUB","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","PFTFAC","FEMALE","MARRIED","DEPENDENT","VETERAN","FIRST_GEN","C150_4","C150_4_HISP","C150_4_AIAN","C150_4_WHITE","C150_4_BLACK","C150_4_ASIAN","C150_4_NHPI","UGDS","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","PPTUG_EF","NPT4_048_PUB","NPT4_3075_PUB","NPT4_75UP_PUB"
"277","2",1327,440,540,450,540,420,510,490,495,465,17,23,16,22,17,24,NA,NA,20,19,21,NA,981,0,0.0245,0,0.0053,0.0417,0,0.0431,0,0.0968,0.0099,0,0.0099,0,0,0.0603,0.0013,0,0.0557,0.0245,0,0.0066,0.0252,0,0,0.0166,0,0.0861,0.0689,0.0484,0.0802,0,0,0,0,0.0364,0.0093,0.2174,0.0318,19514,14298,15564,19337,22313,22817,1095,197,139,228,271,260,23152,9774,18520,9792,0.7182,0.5016722408,0.0194588021,0.9142596534,0.0036485254,0.3690242305,0.5495,0.4762,0.3333,0.5843,0.363,0.5238,NA,6246,0.7922,0.0949,0.0476,0.0136,0.0013,6e-04,0.0293,0.0045,0.016,0.0498,14821,17908,22560
"278","2",769,450,530,460,550,430,520,490,505,475,19,24,18,23,18,24,NA,NA,22,21,21,NA,999,0,0,0,6e-04,0.0546,0,0.0294,0,0.077,0,0.0488,0.0082,0,0,0.0347,0,0,0.0229,0.0082,0,0.0599,0.0928,0,0,0.0206,0,0.0323,0,0.0159,0.0729,0,0,0,0,0.0382,0.2145,0.1392,0.0294,17690,12628,13815,17095,20371,21498,1021,172,145,216,264,224,21741,9309,12939,9650,0.853,0.5602910603,0.0314449064,0.9038461538,NA,0.3314809669,0.6745,0.4545,1,0.6949,0.557,0.5,NA,7529,0.8601,0.0518,0.0216,0.0072,0.0013,5e-04,0.0284,0.009,0.0199,0.0652,13171,15777,20888
"279","8",1229,440,550,440,550,NA,NA,495,495,NA,18,23,18,24,17,24,NA,NA,21,21,21,NA,984,0,0.0431,0,0.0125,0.0458,0,0.0191,0,0.0027,0.0033,0,0.0065,0.0332,0,0.0343,0.085,0,0.0414,0.0158,0,0,0.0452,0.0049,0,0.0207,0,0.0899,0.0431,0,0.1422,0,0,0,0,0.0349,0.0469,0.1929,0.0365,15913,10077,11877,15882,21062,22362,999,289,157,164,141,248,22604,7276,18436,8659,0.4395,0.6747224037,0.0427824951,0.79817113,NA,0.4096701649,0.5549,0.4698,0.381,0.5863,0.3529,0.4833,0.4615,8441,0.5105,0.0219,0.2637,0.0456,0.0053,0.0023,0.0671,0.019,0.0647,0.079,10710,13923,21891
"280","5",1374,360,450,370,450,NA,NA,405,410,NA,15,18,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,810,0.0071,0,0,0,0.0229,0,0.0247,0,0.0917,0.0159,0.0741,0,0.1164,0,0.0159,0,0,0.0847,0.0088,0,0,0.0123,0,0,0.0265,0,0.0529,0.0653,0.0829,0.0265,0,0,0,0,0.0194,0.1164,0.1235,0.0123,18891,18033,18972,20881,24755,20441,426,265,87,44,20,10,26245,10007,19856,6927,1,0.4984126984,0.0215873016,0.8819047619,NA,0.3757062147,0.3824,0.2,0,0.3333,0.3842,0,NA,2753,0.0236,0.9542,0.0062,0.0058,0.0011,4e-04,4e-04,0.0011,0.0073,0.0625,18265,19613,23317
"281","4",1452,480,610,560,660,510,650,545,610,580,24,28,21,27,25,29,NA,NA,26,24,27,NA,1181,0,0,0,0,0,0,0.0439,0,0,0.7838,0,0,0,0,0,0.0236,0,0.0101,0.0169,0,0.0473,0,0,0,0.0743,0,0,0,0,0,0,0,0,0,0,0,0,0,17723,14211,15765,18217,19411,19383,154,25,22,41,38,28,20994,10040,13560,9124,0.8523,0.1992071358,0.0327056492,0.8602576809,NA,0.2004153686,0.5382,0.5,0.2857,0.554,0.5,0.4,NA,2336,0.839,0.0197,0.0402,0.0154,0.0171,0.0021,0.0372,0.0223,0.0068,0.1216,14938,17361,19399
"282","4",1543,430,560,460,610,NA,NA,495,535,NA,20,26,19,25,19,26,NA,NA,23,22,23,NA,1068,0.1499,0.0283,0.0093,0,0.0216,0,0.0124,0,0.0392,0.0639,0.0392,0.0108,0.0572,0,0.0139,0.0335,0,0.0474,0.0134,0,0.0062,0.0371,0,0,0.0052,0,0.033,0,0,0.0788,0,0,0,0.0031,0.0309,0.2287,0.0206,0.0165,16152,12830,13764,16176,17770,17990,878,138,120,190,225,205,19330,7713,10485,7698,0.8089,0.5557868443,0.0518318068,0.8463780183,0.0045795171,0.2297834733,0.5687,0.3889,0.2105,0.5848,0.1538,0.3889,NA,10003,0.8935,0.02,0.0195,0.0091,0.0086,0.001,0.019,0.0267,0.0026,0.1411,13264,15242,17875
"283","4",1382,458,593,433,620,NA,NA,526,527,NA,20,25,18,25,20,26,NA,NA,23,22,23,NA,1050,0.0292,0.0029,0,0,0.0772,0,0.0149,0,0.1469,0.0011,0.0726,0.0023,0.0503,0,0.0114,0.0846,0,0.0497,0.0034,0,0.0172,0.0497,0.0017,0,0.012,0,0.036,0.0469,0.0183,0.0177,0,0,0,0,0.0309,0.0892,0.1286,0.0051,12050,9393,9780,12731,14955,15629,869,242,174,169,139,145,17405,7058,12450,7060,1,0.580270793,0.0938104449,0.7686170213,0.0077369439,0.406489053,0.512,0.44,0.2,0.5249,0.4812,0.45,NA,9382,0.7839,0.1009,0.0178,0.011,0.0052,3e-04,7e-04,0.0673,0.0128,0.156,9555,11234,15299
"284","5",1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,24,20,25,18,24,NA,NA,22,23,21,NA,1030,0,0,0,0,0.0366,0,0.0168,0,0.1087,0,0.0499,0.0069,0.0306,0,0.0203,0.1339,0,0.039,0.0094,0,0,0.0089,0,0,0.0059,0,0.0455,0.0484,0.0222,0.0168,0,0,0,0,0.0371,0.1225,0.2243,0.0163,10022,8124,9286,11266,13157,12823,1461,610,275,204,191,181,16136,6547,19111,6306,0.82,0.6249217282,0.0429972866,0.8396994364,NA,0.4253351826,0.3724,0.3651,0.4167,0.3984,0.2643,0.2727,0,11199,0.6688,0.1643,0.0697,0.0072,0.0028,0.0012,0.0627,0.0183,0.005,0.1324,8485,10129,12995
"285","6",1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,23,15,23,16,22,NA,NA,21,19,19,NA,970,0,0.012,0,0,0.0629,0,0.0254,0,0.1482,0,0.1542,0.0015,0,0,0.0075,0.1078,0,0.0374,0.0045,0,0.0105,0.0389,0,0,0.0195,0,0.0734,0.0464,0,0.0359,0,0.0359,0,0.0075,0.0195,0,0.1437,0.0075,7979,6157,6509,10380,12292,12770,281,124,61,55,27,14,14305,5688,13992,7144,1,0.595459837,0.1897555297,0.5814901048,0.0058207218,0.4996801024,0.2882,0.3889,0.2864,0.2804,0.2333,1,NA,3372,0.5477,0.0566,0.0406,0.0083,0.1773,0.0018,0.1418,0.0258,0,0.1942,6273,8345,12455
"286","5",935,410,540,440,540,NA,NA,475,490,NA,18,24,18,24,17,24,NA,NA,21,21,21,NA,989,0.044,0,0,0,0.0237,0,0.0068,0,0.1252,0,0,0.0017,0,0,0.0034,0.1591,0,0.0355,0.0068,0,0,0.0118,0,0,0.0541,0,0.0508,0.0423,0.0457,0.0085,0,0,0,0,0.0118,0.1743,0.1777,0.0169,10150,9354,9514,10745,12961,13474,369,188,78,47,29,27,18887,7736,11186,6269,0.6942,0.5814241486,0.0755417957,0.7721362229,NA,0.4311172036,0.3061,0.4545,0.5,0.3665,0.2022,0.2,NA,2784,0.6311,0.2856,0.0248,0.0065,0.0047,0.009,0.0079,0.0298,7e-04,0.1002,9401,9977,13208
